pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,1,230489.32,2424.9525887324066,0.45955624132916567
0.02,2,231472.32,2414.7475680907105,0.4642197379730508
0.02,3,232095.08,2500.667613578422,0.46759154127961694
0.02,4,233323.2864321608,2715.69522519512,0.467732137827818
0.02,5,234414.1,2694.997215211919,0.47231853675516866
0.04,1,229674.24,2591.729913088939,0.463708480183698
0.04,2,230224.82,2527.108633913469,0.470306169796327
0.04,3,231193.28,2532.979897590978,0.4749011982018787
0.04,4,232463.94,2813.186861266063,0.4786876243779142
0.04,5,233252.6,2736.4104297418544,0.4791145442771925
0.06,1,228630.54,2497.275400992049,0.4666533138923871
0.06,2,229546.18,2451.080685656839,0.47359961200507555
0.06,3,230501.9,2429.204295649092,0.4786005482144905
0.06,4,231769.8,2734.7661764765194,0.4811815688212592
0.06,5,232646.6,2786.6483882973107,0.48084660739197477
0.08,1,228133.54,2162.2413251993867,0.4694213724140285
0.08,2,228907.46,2146.7673624312442,0.47485660294122356
0.08,3,229780.46,2103.508029079043,0.4757298732098194
0.08,4,231025.36,2356.3603948462555,0.4762861872058331
0.08,5,232050.7,2434.7285495512638,0.4790240964127764
0.1,1,227755.82,2032.01900768669,0.4690008761392425
0.1,2,228498.28,1877.8318778847056,0.4757346137463553
0.1,3,229489.88,1868.2396809831441,0.4781245645857305
0.1,4,230572.66,2102.491865477724,0.4762049218882878
0.1,5,231505.3,2148.025677220829,0.47816873856122655
