video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cuda_cli_mem_mean,cuda_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b4fe0b47-a7819060,0.05,60,23634.0,0.0,122.06273000000002,48.9313436228467,6.6,0.0,70.6997,1.3304431254285167,3.6105199999999997,2.299795023387954,4.41654,0.03786249331462472,0.17765510000000004,0.03047769635307105,14.674999999999997,0.4325840958703869
b5fa32f1-4e9c7d32,0.05,60,23634.0,0.0,117.05606,36.7933811019917,6.6,0.0,70.70379999999999,1.3007596088440019,3.6881899999999996,3.176145735620455,4.4251700000000005,0.036432418256272844,0.17829980000000004,0.02644134122846267,14.6055,0.3708055420297815
b4c0a877-66fc6239,0.05,60,23634.0,0.0,115.02593,38.522254540785895,6.6,0.0,70.54360000000001,0.9539617602398958,3.11201,1.2542906241776666,4.4013800000000005,0.04475707318402316,0.17407120000000006,0.02006733625970323,14.644599999999999,0.4218635324367349
b49a1b50-186fb520,0.05,60,23634.0,0.0,107.76598999999999,36.635716721116566,6.6,0.0,70.50770000000001,1.0408072395981893,2.82983,1.326010724353314,4.3684199999999995,0.043016085363500926,0.17407000000000003,0.020067638127094077,14.687899999999997,0.423001879428449
b610204c-e3c8c65f,0.05,60,23634.0,0.0,117.91915999999999,36.15262388146122,6.6,0.0,70.73609999999998,1.5109274602044926,3.0655099999999993,0.8713051416696678,4.4256,0.04360068806796516,0.17407120000000004,0.02006733675802546,14.6797,0.4329352261020118
b4d2dede-18dc0cd0,0.05,60,23634.0,0.0,102.30086999999999,29.35115228799544,6.6,0.0,70.7198,1.336924814639926,2.6767200000000004,0.7935314874659984,4.340529999999999,0.033696722392541394,0.17407,0.023356264684234077,14.614599999999998,0.37220806009542573
b69d5b1d-03bd6daa,0.05,60,23634.0,0.0,110.44349,36.21001886646705,6.6,0.0,70.59370000000001,1.1348653268119522,2.9740599999999997,0.927301998488087,4.375039999999999,0.0404314036362825,0.17829520000000001,0.029014337162168634,14.667199999999998,0.4065810620282259
b607dd6a-1d8f33b9,0.05,60,23634.0,0.0,118.53313,37.16847999492446,6.6,0.0,70.5176,0.989886983448111,3.1658399999999993,0.8365662761550934,4.42575,0.03980160172656372,0.1774519,0.025351035667009744,14.699999999999994,0.4245962788343771
b5f9cb1e-c84e2ce9,0.05,60,23634.0,0.0,118.11804000000001,34.713158051355684,6.6,0.0,70.8337,1.4153173884327153,3.2228,1.9776931005593363,4.432720000000001,0.03538052571684034,0.17745260000000002,0.025349137958518436,14.680399999999995,0.4179328175676088
